Trip_ID,Driver_ID,Vehicle_ID,Duration_Min,Distance_KM,Avg_Speed_kmph,Max_Speed_kmph,Telemetry_Minutes,Trip_Accel_Mag_Mean,Trip_Accel_Mag_Std,Trip_Gyro_Mag_Mean,Trip_Gyro_Mag_Std,Trip_Extreme_Braking_Count,Trip_Harsh_Acceleration_Count,Trip_Extreme_Rot_Count,Trip_High_Speed_Minutes,Is_Anomalous
T00001,D01,V01,16,9.34,28.7,39.4,16,1.015942849371013,0.07193238908424672,2.626879318044309,1.0672700618836541,0,0,0,0,False
T00002,D01,V01,22,5.0,28.5,54.4,22,0.9981214659653616,0.04317178418357944,4.626561836212162,7.208373975108704,2,1,1,3,False
T00003,D01,V01,27,7.25,16.9,32.7,27,1.0168001188706366,0.08421880685859247,4.699843083707394,6.789118059552954,0,0,1,0,False
T00004,D01,V01,42,9.27,23.9,40.4,42,1.004190567676735,0.05943017200806016,7.708967822806433,12.728350758695036,0,0,5,1,False
T00005,D01,V01,13,7.74,28.7,42.5,13,1.0404150700687913,0.0914955671325,6.098401847544783,12.215527119804703,1,0,1,2,False
T00006,D01,V01,19,11.26,21.7,33.4,19,1.0376359515598574,0.07437592523380065,5.227250844770779,8.662947033554333,0,1,1,0,False
T00007,D01,V01,15,6.2,20.0,38.2,15,1.0517059681150167,0.05367784157680774,3.610976096774266,1.572885756179052,0,0,0,0,True
T00008,D01,V01,41,14.97,25.3,41.7,41,1.0323590206089621,0.09338428069802206,6.52930803927015,10.93985591502604,1,1,5,2,False
T00009,D01,V01,31,17.09,23.8,42.3,31,1.086552703846149,0.1809486920559999,5.110172455488585,8.559156620699921,0,0,3,3,True
T00010,D01,V01,33,16.27,30.6,47.5,33,1.0130179965443091,0.0868266549569978,4.52194448494512,7.329995516023218,3,2,2,4,False
T00011,D01,V01,41,23.39,22.8,33.9,41,1.024592244195966,0.0786053526282438,4.339219835634773,7.869706665339222,0,0,1,0,False
T00012,D01,V01,29,11.69,32.1,45.8,29,1.011746764435433,0.12442210055442922,3.3775687869988356,2.029834120453875,3,3,1,5,False
T00013,D01,V01,37,14.92,28.1,47.0,37,1.0078956213582564,0.0670446386400711,6.810928980477781,12.981530167518398,2,1,3,5,False
T00014,D01,V01,24,16.29,29.5,45.0,24,1.0262390480409938,0.05699541958024761,7.264724001023139,12.43380428078334,1,1,2,1,False
T00015,D01,V01,37,14.69,19.9,47.2,37,1.0283074821275564,0.05582231767401425,5.918455264219544,9.662745655294678,1,1,2,1,False
T00016,D02,V02,14,6.21,23.1,44.7,14,1.1325710053677713,0.23287514799587256,7.315028202127649,11.116079045962344,3,1,2,3,True
T00017,D02,V02,25,9.63,22.8,38.0,25,1.0537789164149598,0.09390817389495193,5.427644492458572,6.791321304880908,2,2,2,0,True
T00018,D02,V02,25,19.0,22.2,33.7,25,1.0537890966530141,0.1795065567953587,4.504002458902011,5.624391990307027,0,0,3,0,True
T00019,D02,V02,20,6.61,16.9,31.5,20,1.0271155938567655,0.11467646413997183,3.5315977282428848,1.5991848205848977,1,1,1,0,False
T00020,D02,V02,43,9.39,21.7,44.1,43,1.0958517548196867,0.2099410945003592,4.215979969951618,3.539755017073151,2,2,4,1,True
T00021,D02,V02,45,23.92,18.8,36.3,45,1.0184967938342078,0.14006359292095252,6.690252666638946,11.541266342351172,2,3,4,0,False
T00022,D02,V02,41,11.6,22.3,36.9,41,1.0174957828314606,0.1258508649878817,5.1282002742214425,7.064593654001763,1,0,3,0,False
T00023,D02,V02,21,15.2,26.8,50.7,21,1.008604912692706,0.06805649562492885,3.0111624625849176,1.0444283867817419,2,1,0,4,False
T00024,D02,V02,35,16.23,27.5,50.5,35,1.0296087187230771,0.16421883010983074,3.9864427660980093,3.634487958684098,2,3,2,5,False
T00025,D02,V02,17,7.73,19.6,31.9,17,1.0055761150263134,0.1066054369819982,5.758669508094334,10.30520085151564,1,0,1,0,False
T00026,D02,V02,13,11.49,28.1,41.9,13,1.0115938457816893,0.08042884292754064,3.5691402015910865,1.1916758814803068,0,0,0,1,False
T00027,D02,V02,19,11.53,21.3,34.3,19,1.1092730839444902,0.2553544681733084,4.9080862681505595,4.7374623686775506,1,0,4,0,True
T00028,D02,V02,18,9.1,29.3,50.9,18,1.0571693960678041,0.11665273358976977,8.654799741477525,13.27717511997136,2,2,4,3,True
T00029,D02,V02,44,14.25,17.7,36.3,44,1.042665576984164,0.1360300720155891,4.457807374574528,7.081711050127341,1,0,3,0,False
T00030,D02,V02,22,10.41,22.1,35.1,22,1.0858367780710345,0.1977244126535394,5.309924425901074,6.029641294735696,0,0,3,0,True
T00031,D03,V03,18,9.23,14.3,32.4,18,1.0294614862985538,0.05810733886195258,5.947503577104677,9.591483114188236,0,1,1,0,False
T00032,D03,V03,38,16.21,13.3,35.6,38,1.025803803475414,0.0706447445424329,6.311434666758875,11.339396300479216,2,4,3,0,False
T00033,D03,V03,14,8.27,23.6,46.6,14,1.0702815806908883,0.1056047538532927,8.613389156803335,13.232652740819347,0,1,2,3,True
T00034,D03,V03,22,6.26,29.8,58.8,22,1.0303543814511251,0.052213695402059376,6.697086479564875,12.014617325564892,2,1,2,4,False
T00035,D03,V03,32,13.38,30.5,54.7,32,1.0368902674298204,0.07356878411875946,4.049594603687612,5.495898392804882,0,2,2,5,False
T00036,D03,V03,31,19.96,19.9,51.2,31,1.0372005605673627,0.06145999021618479,5.522011285624402,10.35941847178135,4,1,2,4,False
T00037,D03,V03,43,18.13,25.4,68.8,43,1.02813271459478,0.06258312771610033,4.572468178445142,7.4283757670864805,3,4,2,6,False
T00038,D03,V03,44,19.77,22.0,52.3,44,1.018233578713429,0.049508675288535364,3.9936064013041106,4.568622631232867,6,5,1,6,False
T00039,D03,V03,25,11.92,22.4,52.3,25,1.0168616542713893,0.06217797098227312,7.882012575168183,13.110029309848793,2,2,3,2,False
T00040,D03,V03,31,13.65,21.8,49.9,31,1.049047548860447,0.06768467259444999,6.9184362836924915,11.076263842173352,4,4,3,4,True
T00041,D03,V03,35,12.38,27.4,60.1,35,1.029679941368934,0.062140884047365126,3.126528721095188,1.2376238555469328,4,1,0,4,False
T00042,D03,V03,40,7.88,21.5,53.4,40,1.0202964074029617,0.05970196097462101,4.299358065304892,7.956287320378015,6,5,1,3,False
T00043,D03,V03,39,20.88,16.4,47.1,39,1.0241918340247302,0.05671591198924046,5.4475217070881286,8.771482475045785,1,5,3,1,False
T00044,D03,V03,27,9.3,32.4,59.1,27,1.042267187433185,0.0812642815858305,5.014368074494082,5.9396326808350945,2,3,3,7,False
T00045,D03,V03,43,13.14,22.1,55.4,43,1.0438763260403061,0.0864344349783982,7.657542839845995,12.651470852947066,7,5,5,3,False
T00046,D04,V04,45,18.81,28.0,48.1,45,1.0029170335464495,0.04946212325138612,4.017363785619891,4.285748766736158,2,1,1,4,False
T00047,D04,V04,33,15.2,32.4,50.7,33,1.0105378184779732,0.03766773945081514,4.440458895133281,8.780838190380885,2,2,1,7,False
T00048,D04,V04,32,16.54,23.9,42.9,32,1.0215277770065345,0.04521312460423233,4.9705233556052475,8.490331355447697,1,1,1,1,False
T00049,D04,V04,32,10.78,29.8,51.6,32,1.0206382820545572,0.07251093589403845,6.580323171741992,11.421853420828912,1,0,3,5,False
T00050,D04,V04,38,10.83,22.3,37.6,38,1.0124790602409224,0.05176944674409371,2.8366518150555535,1.0576381929435503,0,0,0,0,False
T00051,D04,V04,38,12.83,15.3,29.1,38,1.037980263800708,0.13024134919532282,5.350716418416077,7.489062988999215,0,1,4,0,False
T00052,D04,V04,21,7.47,18.6,34.8,21,1.0236393718231505,0.039682594121115786,7.458190320492856,10.101897693031345,0,0,3,0,False
T00053,D04,V04,29,13.9,19.4,40.6,29,1.0185296237434016,0.051901266553707505,6.142162821693027,10.851803734670344,1,1,2,1,False
T00054,D04,V04,40,17.54,29.7,50.6,40,1.0162918784693473,0.03802991747053664,5.834317287635635,10.165391098821326,1,1,3,5,False
T00055,D04,V04,28,13.16,28.1,48.8,28,1.0101394849222773,0.04158845460638174,5.634235016139344,9.545732577520466,3,2,2,4,False
T00056,D04,V04,27,11.73,16.0,32.5,27,0.9888626070243822,0.035740033350592115,6.012290593690512,11.43534848458188,0,0,2,0,False
T00057,D04,V04,29,16.38,28.4,40.0,29,1.0216869844314183,0.056254037778762575,3.255770664566137,1.1166445913150247,1,1,0,0,False
T00058,D04,V04,20,9.66,25.4,43.6,20,1.0030481537494675,0.04336626459630268,6.687492414367776,11.113714392008188,0,0,2,1,False
T00059,D04,V04,32,18.54,26.9,36.5,32,1.0037992253433818,0.04216965978614187,6.435968142872806,9.10947158632802,0,0,3,0,False
T00060,D04,V04,31,9.64,20.2,45.7,31,1.0036310954217436,0.034441425337850134,3.654498074734695,1.459357832228186,2,2,1,1,False
T00061,D05,V05,42,19.04,33.1,47.8,42,1.0063866080761932,0.029078444604615037,3.737050543565355,6.0959737529506475,1,1,1,2,False
T00062,D05,V05,41,33.4,23.4,34.1,41,0.993322589990292,0.040441785573248845,3.9481713803753795,6.416360441867679,0,0,1,0,False
T00063,D05,V05,45,28.5,18.7,30.0,45,1.0052416675677316,0.03521638963545428,3.6995846679665854,4.541584369630062,0,1,1,0,False
T00064,D05,V05,26,17.15,31.7,42.0,26,1.0213684695929661,0.06707091242986851,4.6001672679801455,8.45660165497159,0,0,1,1,False
T00065,D05,V05,44,15.93,26.5,37.5,44,1.0017916837705445,0.03487038539606178,3.356335660190757,1.3092380279064384,2,4,0,0,False
T00066,D05,V05,22,14.07,22.1,30.8,22,1.0100177430058688,0.03453672572044925,2.951144843152112,1.3145028124769738,0,0,0,0,False
T00067,D05,V05,41,12.07,24.1,33.0,41,1.0034465945590674,0.04339619988554372,5.374278843697193,8.466149513382305,2,2,2,0,False
T00068,D05,V05,27,9.12,23.8,34.5,27,1.0023347931198106,0.033753055439810956,4.679040061488005,8.341373643519253,2,2,1,0,False
T00069,D05,V05,27,19.08,19.2,24.7,27,1.0365642063486524,0.12358871699080713,3.065690045056091,1.6832340984680867,0,0,1,0,False
T00070,D05,V05,39,19.7,20.5,29.7,39,1.0260591961001397,0.14386447550194295,5.387783687293084,7.2711392190354065,0,0,3,0,False
T00071,D05,V05,27,10.77,18.4,25.2,27,1.0210764128012992,0.08816568732580665,3.340112135774505,1.8281145694214003,0,0,0,0,False
T00072,D05,V05,26,19.89,17.9,25.7,26,1.020473569284318,0.10843856402502168,3.302781374904174,1.876879483922593,0,0,1,0,False
T00073,D05,V05,22,13.51,19.3,25.9,22,1.0112440846329767,0.03742473620856446,4.253138089280801,5.573450930024436,0,0,1,0,False
T00074,D05,V05,12,7.0,26.6,35.0,12,0.9979107559028261,0.03042349427274886,3.271848171590875,1.7022155216788757,0,0,0,0,False
T00075,D05,V05,41,19.37,20.0,30.2,41,1.02095521633655,0.07772938563418681,4.047137206089603,3.888205556032548,0,0,2,0,False
T00076,D06,V06,19,9.64,21.8,52.7,19,1.0240979528914387,0.053542960315229454,4.654789315698771,5.533389016299519,1,2,1,1,False
